Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,1.01e-05,0.00029069999999999996,0.00025540000000000003
AES_CBC_Large_File,1.01e-05,0.0066248,0.0062556999999999995
AES_CTR_Small_File,8.8e-06,0.000181,0.0003086
AES_CTR_Large_File,8.8e-06,0.0072029,0.0039978
AES_CTR_256_Small_File,1.07e-05,0.00016790000000000002,0.0002998
AES_CTR_256_Large_File,1.07e-05,0.0051763,0.0059659
TripleDES_Small_File,1.3199999999999999e-05,0.0028786999999999997,0.0027525
TripleDES_Large_File,1.3199999999999999e-05,0.1335933,0.132581
RSA_2048_Small_File,0.1644144,0.0222544,0.2914677
RSA_2048_Large_File,0.16194160000000002,0.8804067,3.5250096
RSA_3072_Small_File,0.30877790000000005,0.0184502,0.5175668
RSA_3072_Large_File,0.30991440000000003,0.472047,5.656915400000001
DSA_2048_Small_File,0.109069,0.0005802,0.000538
DSA_2048_Large_File,0.10129360000000001,0.0032386999999999997,0.003162
DSA_3072_Small_File,1.006691,0.000889,0.0007844
DSA_3072_Large_File,1.1442454,0.0033075,0.0035935
